01 16 Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
01 16 Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
01 16  
01 16 201601,01,001,3,6,Autauga County                ,18,18,4737626,0,0,0,0,0,0,0,0,0,18,18,4737626,0,0,0,0,0,0,0,0,0
01 16 201601,01,007,3,6,Bibb County                   ,2,2,353496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,01,009,3,6,Blount County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,01,021,3,6,Chilton County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,01,073,3,6,Jefferson County              ,95,95,27434601,0,0,0,0,0,0,6,221,24747604,71,71,22652588,0,0,0,0,0,0,5,216,24581715
01 16 201601,01,083,3,6,Limestone County              ,12,12,1885955,0,0,0,0,0,0,0,0,0,12,12,1885955,0,0,0,0,0,0,0,0,0
01 16 201601,01,089,3,6,Madison County                ,166,166,23994956,0,0,0,0,0,0,9,60,4969916,166,166,23994956,0,0,0,0,0,0,9,60,4969916
01 16 201601,01,113,3,6,Russell County                ,5,5,619270,0,0,0,0,0,0,0,0,0,5,5,619270,0,0,0,0,0,0,0,0,0
01 16 201601,01,115,3,6,St. Clair County              ,11,11,1308823,0,0,0,0,0,0,0,0,0,11,11,1308823,0,0,0,0,0,0,0,0,0
01 16 201601,01,117,3,6,Shelby County                 ,66,66,14377402,0,0,0,0,0,0,0,0,0,29,29,5568665,0,0,0,0,0,0,0,0,0
01 16 201601,01,127,3,6,Walker County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,016,4,9,Aleutians West Census Area    ,1,1,98118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,020,4,9,Anchorage Borough             ,46,46,14468853,0,0,0,1,3,514864,1,16,2529529,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,020,4,9,Anchorage Municipality        ,46,46,14468853,0,0,0,1,3,514864,1,16,2529529,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,060,4,9,Bristol Bay Borough           ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,100,4,9,Haines Borough                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,110,4,9,Juneau Borough                ,3,3,757561,0,0,0,0,0,0,0,0,0,3,3,757561,0,0,0,0,0,0,0,0,0
01 16 201601,02,110,4,9,Juneau City and Borough       ,3,3,757561,0,0,0,0,0,0,0,0,0,3,3,757561,0,0,0,0,0,0,0,0,0
01 16 201601,02,122,4,9,Kenai Peninsula Borough       ,0,0,0,2,4,600000,0,0,0,0,0,0,0,0,0,2,4,600000,0,0,0,0,0,0
01 16 201601,02,130,4,9,Ketchikan Gateway Borough     ,2,2,583174,0,0,0,0,0,0,0,0,0,2,2,583174,0,0,0,0,0,0,0,0,0
01 16 201601,02,150,4,9,Kodiak Island Borough         ,1,1,209361,0,0,0,0,0,0,0,0,0,1,1,209361,0,0,0,0,0,0,0,0,0
01 16 201601,02,158,4,9,Kusilvak Census Area          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,170,4,9,Matanuska-Susitna Borough     ,8,8,1313191,1,2,257899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,180,4,9,Nome Census Area              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,185,4,9,North Slope Borough           ,1,1,257479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,188,4,9,Northwest Arctic Borough      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,195,4,9,Petersburg Borough            ,1,1,134229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,195,4,9,Petersburg Census Area        ,1,1,134229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,198,4,9,Prince of Wales-Hyder Census A,1,1,267225,0,0,0,0,0,0,0,0,0,1,1,267225,0,0,0,0,0,0,0,0,0
01 16 201601,02,220,4,9,Sitka Borough                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,220,4,9,Sitka City and Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,230,4,9,Skagway Municipality          ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,261,4,9,Valdez-Cordova Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,275,4,9,Wrangell City and Borough     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,02,282,4,9,Yakutat Borough               ,1,1,190600,0,0,0,0,0,0,0,0,0,1,1,190600,0,0,0,0,0,0,0,0,0
01 16 201601,02,282,4,9,Yakutat City and Borough      ,1,1,190600,0,0,0,0,0,0,0,0,0,1,1,190600,0,0,0,0,0,0,0,0,0
01 16 201601,02,290,4,9,Yukon-Koyukuk Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,04,013,4,8,Maricopa County               ,1078,1078,305671038,2,4,662637,3,11,1966799,11,966,136662594,1076,1076,305081209,2,4,662637,3,11,1966799,11,966,136662594
01 16 201601,04,019,4,8,Pima County                   ,153,153,42123261,1,2,98398,0,0,0,3,82,9638889,100,100,29085099,0,0,0,0,0,0,0,0,0
01 16 201601,04,021,4,8,Pinal County                  ,156,156,30155923,10,20,1191000,0,0,0,0,0,0,121,121,22712207,10,20,1191000,0,0,0,0,0,0
01 16 201601,05,013,3,7,Calhoun County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,05,035,3,7,Crittenden County             ,5,5,887668,0,0,0,0,0,0,0,0,0,5,5,887668,0,0,0,0,0,0,0,0,0
01 16 201601,05,045,3,7,Faulkner County               ,17,17,2754114,0,0,0,0,0,0,0,0,0,13,13,1918014,0,0,0,0,0,0,0,0,0
01 16 201601,05,053,3,7,Grant County                  ,1,1,115833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,05,085,3,7,Lonoke County                 ,19,19,1961054,0,0,0,0,0,0,0,0,0,5,5,783925,0,0,0,0,0,0,0,0,0
01 16 201601,05,087,3,7,Madison County                ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,05,091,3,7,Miller County                 ,3,3,476076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,05,105,3,7,Perry County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,05,119,3,7,Pulaski County                ,54,54,11196116,2,4,1868000,0,0,0,3,78,2802000,54,54,11196116,2,4,1868000,0,0,0,3,78,2802000
01 16 201601,05,129,3,7,Searcy County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,05,143,3,7,Washington County             ,63,63,14659558,0,0,0,0,0,0,0,0,0,55,55,13107735,0,0,0,0,0,0,0,0,0
01 16 201601,06,001,4,9,Alameda County                ,184,184,65041145,0,0,0,1,3,736366,4,240,39244491,174,174,60723826,0,0,0,1,3,736366,1,175,30290637
01 16 201601,06,013,4,9,Contra Costa County           ,107,107,37741987,0,0,0,0,0,0,2,10,1442269,87,87,33241170,0,0,0,0,0,0,0,0,0
01 16 201601,06,017,4,9,El Dorado County              ,72,72,25886442,0,0,0,0,0,0,0,0,0,70,70,25028671,0,0,0,0,0,0,0,0,0
01 16 201601,06,019,4,9,Fresno County                 ,121,121,32299296,0,0,0,0,0,0,2,22,1727520,41,41,11197154,0,0,0,0,0,0,0,0,0
01 16 201601,06,037,4,9,Los Angeles County            ,299,299,120354489,21,42,7657958,2,6,2111207,18,484,81865045,256,256,106836109,21,42,7657958,0,0,0,9,342,60477492
01 16 201601,06,041,4,9,Marin County                  ,13,13,6929783,0,0,0,0,0,0,1,15,1478259,3,3,2350000,0,0,0,0,0,0,0,0,0
01 16 201601,06,059,4,9,Orange County                 ,199,199,66973314,8,16,3360416,0,0,0,13,1083,66480363,171,171,52446926,6,12,2027059,0,0,0,12,1078,65562360
01 16 201601,06,061,4,9,Placer County                 ,96,96,29174424,0,0,0,0,0,0,1,20,1569952,95,95,28847520,0,0,0,0,0,0,1,20,1569952
01 16 201601,06,063,4,9,Plumas County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,06,067,4,9,Sacramento County             ,140,140,40909306,0,0,0,0,0,0,1,118,19948026,138,138,40438606,0,0,0,0,0,0,1,118,19948026
01 16 201601,06,069,4,9,San Benito County             ,8,8,2278563,0,0,0,0,0,0,0,0,0,6,6,1757528,0,0,0,0,0,0,0,0,0
01 16 201601,06,071,4,9,San Bernardino County         ,161,161,40546385,0,0,0,1,3,283714,12,205,26133997,143,143,36663834,0,0,0,0,0,0,11,200,25766122
01 16 201601,06,073,4,9,San Diego County              ,116,116,42043118,2,4,677242,10,30,5058806,10,444,24999387,112,112,39762720,2,4,677242,10,30,5058806,9,435,23102369
01 16 201601,06,075,4,9,San Francisco County          ,2,2,534449,0,0,0,1,3,1150000,1,143,48657306,2,2,534449,0,0,0,1,3,1150000,1,143,48657306
01 16 201601,06,081,4,9,San Mateo County              ,27,27,17451467,0,0,0,0,0,0,3,92,21231337,10,10,11333048,0,0,0,0,0,0,2,23,6551080
01 16 201601,06,085,4,9,Santa Clara County            ,150,150,47456570,0,0,0,1,4,331092,14,983,83807235,87,87,29447004,0,0,0,1,4,331092,12,790,49329869
01 16 201601,06,091,4,9,Sierra County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,06,113,4,9,Yolo County                   ,44,44,13903407,0,0,0,0,0,0,0,0,0,44,44,13903407,0,0,0,0,0,0,0,0,0
